observation_id,observation_family,observation_level,observation_status,source_observation_id,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,second_next_session_local_date,first_break_direction,first_break_mode,prior_or_break_edge_value,second_next_session_open_utc,second_next_session_first_bar_open,second_next_session_first_bar_close,second_next_session_first_30m_bar_count,second_next_session_first_bar_expected_side,second_next_session_first_30m_all_closes_expected_side,second_next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-12|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-12|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-12,2021-08-13,2021-08-14,down,wick,1.38497,2021-08-14T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-18|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-18|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-18,2021-08-19,2021-08-20,down,wick,1.37494,2021-08-20T13:30:00Z,1.36194,1.36182,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-19|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-19|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-19,2021-08-20,2021-08-21,down,close,1.37193,2021-08-21T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-19|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-19,2021-08-20,2021-08-21,down,wick,1.36858,2021-08-21T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-23|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-23|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-23,2021-08-24,2021-08-25,up,wick,1.36781,2021-08-25T13:30:00Z,1.37291,1.37173,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-26,2021-08-27,2021-08-28,down,wick,1.37369,2021-08-28T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-01|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-01|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-01,2021-09-02,2021-09-03,up,wick,1.37379,2021-09-03T07:00:00Z,1.38341,1.38333,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-01|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-01|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-01,2021-09-02,2021-09-03,up,wick,1.37613,2021-09-03T13:30:00Z,1.38275,1.38227,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-06|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-06|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-06|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-06,2021-09-07,2021-09-08,down,close,1.38474,2021-09-08T07:00:00Z,1.3779,1.37799,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-08|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-08|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-08|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-08,2021-09-09,2021-09-10,down,wick,1.37788,2021-09-10T07:00:00Z,1.38504,1.38491,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-14|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-14|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-14,2021-09-15,2021-09-16,down,close,1.38440,2021-09-16T07:00:00Z,1.38336,1.38329,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
