candidate_id,candidate_family,candidate_level,candidate_status,source_observation_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,first_return_inside_ib_bar_time_utc,session_close_price,session_close_beyond_ib,max_extension_distance_over_ib,split_scope
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-27,up,close,2021-09-27T08:00:00Z,2021-09-27T08:15:00Z,1.37037,1,0.00506,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-30,up,wick,2021-09-30T14:45:00Z,2021-09-30T15:00:00Z,1.34536,1,0.00679,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-10-22|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-10-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-10-22,down,wick,2021-10-22T14:45:00Z,2021-10-22T15:00:00Z,1.37537,1,0.00455,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-15,down,close,2021-11-15T09:30:00Z,2021-11-15T09:45:00Z,1.34109,1,0.00260,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-16,up,close,2021-11-16T09:00:00Z,2021-11-16T16:00:00Z,1.34266,1,0.00470,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-23,down,close,2021-11-23T09:00:00Z,2021-11-23T09:15:00Z,1.3378,1,0.00400,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-20,down,close,2021-12-20T09:00:00Z,2021-12-20T14:45:00Z,1.32083,1,0.00432,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,down,close,2021-12-23T15:30:00Z,2021-12-23T16:00:00Z,1.34063,1,0.00248,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,up,close,2022-01-04T09:30:00Z,,1.35263,1,0.00873,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-24,down,close,2022-01-24T15:30:00Z,2022-01-24T16:00:00Z,1.34749,1,0.00373,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-02-04,down,close,2022-02-04T09:45:00Z,2022-02-04T10:00:00Z,1.35265,1,0.00778,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-02,up,wick,2022-03-02T15:30:00Z,2022-03-02T15:45:00Z,1.33945,1,0.00722,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-03,down,wick,2022-03-03T15:30:00Z,2022-03-03T15:45:00Z,1.33366,1,0.00589,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-10,down,close,2022-03-10T16:15:00Z,,1.30903,1,0.00828,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-11,down,close,2022-03-11T16:15:00Z,2022-03-11T16:30:00Z,1.30352,1,0.00521,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-14,down,wick,2022-03-14T09:00:00Z,2022-03-14T09:15:00Z,1.30007,1,0.00127,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-17,down,wick,2022-03-17T09:15:00Z,2022-03-17T09:30:00Z,1.31486,1,0.00656,same_day_session_close_position_relative_to_ib
