observation_id,observation_family,observation_level,observation_status,source_outcome_shell_id,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,ib_same_side_edge_value,bars_after_cross_count,return_inside_ib_observed_same_day,first_return_inside_ib_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,observation_scope
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-21,up,wick,2022-01-21T15:30:00Z,1.35746,1.35731,33,1,2022-01-21T15:45:00Z,1.35757,0.00026,1.35522,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-24,down,close,2022-01-24T15:30:00Z,1.34738,1.34770,53,1,2022-01-24T16:00:00Z,1.34397,0.00373,1.34749,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-02-04,down,close,2022-02-04T09:45:00Z,1.35813,1.35820,56,1,2022-02-04T10:00:00Z,1.35042,0.00778,1.35265,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-07,down,wick,2022-02-07T15:30:00Z,1.35053,1.35101,53,1,2022-02-07T15:45:00Z,1.35007,0.00094,1.35323,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-16,down,wick,2022-02-16T15:30:00Z,1.35392,1.35429,53,1,2022-02-16T15:45:00Z,1.35406,0.00023,1.35896,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-25,down,wick,2022-02-25T15:45:00Z,1.33817,1.33819,32,1,2022-02-25T16:00:00Z,1.33657,0.00162,1.34088,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-02,up,wick,2022-03-02T15:30:00Z,1.33342,1.33341,53,1,2022-03-02T15:45:00Z,1.34063,0.00722,1.33945,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-03,down,wick,2022-03-03T15:30:00Z,1.33733,1.33734,53,1,2022-03-03T15:45:00Z,1.33145,0.00589,1.33366,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-07,up,wick,2022-03-07T09:00:00Z,1.32218,1.32192,59,1,2022-03-07T09:15:00Z,1.32281,0.00089,1.31027,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-09,down,wick,2022-03-09T09:00:00Z,1.31106,1.31109,59,1,2022-03-09T09:15:00Z,1.31041,0.00068,1.31858,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-09,down,wick,2022-03-09T15:30:00Z,1.31367,1.31445,53,1,2022-03-09T15:45:00Z,1.31428,0.00017,1.31594,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,no_return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-10,down,close,2022-03-10T16:15:00Z,1.31417,1.31571,50,0,,1.30743,0.00828,1.30903,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-11,down,close,2022-03-11T16:15:00Z,1.30772,1.30787,30,1,2022-03-11T16:30:00Z,1.30266,0.00521,1.30352,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-14,down,wick,2022-03-14T09:00:00Z,1.30126,1.30131,59,1,2022-03-14T09:15:00Z,1.30004,0.00127,1.30007,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-17,down,wick,2022-03-17T09:15:00Z,1.31477,1.31527,58,1,2022-03-17T09:30:00Z,1.30871,0.00656,1.31486,1,same_local_date_after_confirmed_cross
