observation_id,observation_family,observation_level,observation_status,source_candidate_id,source_post_cross_observation_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,cross_direction,cross_mode,prior_ib_same_side_edge_value,next_session_open_utc,next_session_first_bar_open,next_session_first_bar_close,next_session_first_30m_bar_count,next_session_first_bar_expected_side,next_session_first_30m_all_closes_expected_side,next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,2021-12-28,down,wick,1.33949,2021-12-28T08:00:00Z,1.34367,1.34317,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_not_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,2022-01-11,up,close,1.35863,2022-01-11T08:00:00Z,1.35962,1.35952,2,0,0,1,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,2022-01-11,down,close,1.35637,2022-01-11T14:30:00Z,1.35838,1.35794,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-13,2022-01-14,up,close,1.37345,2022-01-14T14:30:00Z,1.37077,1.37051,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-21,2022-01-22,up,wick,1.35731,2022-01-22T14:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-07,2022-02-08,down,wick,1.35101,2022-02-08T14:30:00Z,1.35429,1.35411,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-16,2022-02-17,down,wick,1.35429,2022-02-17T14:30:00Z,1.36147,1.36212,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-25,2022-02-26,down,wick,1.33819,2022-02-26T14:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-07,2022-03-08,up,wick,1.32192,2022-03-08T08:00:00Z,1.31107,1.31107,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-09,2022-03-10,down,wick,1.31109,2022-03-10T08:00:00Z,1.31753,1.3178,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-09,2022-03-10,down,wick,1.31445,2022-03-10T14:30:00Z,1.31622,1.31713,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
