evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-27|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-27|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-27,60,30,up,close,up,close,1,2026-05-27T14:14:00Z,1.16401,1.16407,1.16397,1.16407,1.16405,1.16419,1.16407,close,0.00014,0,up,-0.00012,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-28|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-28,60,30,up,close,up,close,1,2026-05-28T07:39:00Z,1.1590799999999999,1.15919,1.15907,1.15919,1.15918,1.15927,1.15919,close,0.00009,0,up,-0.00008,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-28|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-28,60,30,down,wick,down,wick,1,2026-05-28T14:00:00Z,1.16036,1.16054,1.16034,1.16046,1.16036,1.16034,1.16034,low,0.00002,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-29|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-29,60,30,down,close,down,close,1,2026-05-29T07:31:00Z,1.16356,1.16357,1.16343,1.16351,1.16354,1.16343,1.16351,close,0.00011,0,down,-0.00008,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-29|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-29,60,30,up,close,up,close,1,2026-05-29T14:03:00Z,1.16431,1.16446,1.16428,1.16445,1.16444,1.16449,1.16445,close,0.00005,0,up,-0.00004,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-01|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-01|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-01,60,30,up,wick,up,wick,1,2026-06-01T07:37:00Z,1.16468,1.16475,1.16466,1.16473,1.16474,1.16485,1.16475,high,0.00011,0,up,-0.00010,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-01|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-01|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-01,60,30,down,wick,down,wick,1,2026-06-01T14:02:00Z,1.16471,1.16477,1.1646,1.16461,1.16461,1.16417,1.1646,low,0.00044,0,down,-0.00043,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-02|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-02|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-02,60,30,up,wick,up,wick,1,2026-06-02T07:30:00Z,1.16358,1.16368,1.16357,1.16364,1.16364,1.16388,1.16368,high,0.00024,0,up,-0.00020,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-02|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-02|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-02,60,30,up,close,up,close,1,2026-06-02T14:21:00Z,1.1646,1.16468,1.1646,1.16463,1.16462,1.16468,1.16463,close,0.00006,0,up,-0.00005,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-03|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-03|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-03,60,30,down,wick,down,wick,1,2026-06-03T07:30:00Z,1.16247,1.16251,1.16246,1.16251,1.16247,1.16243,1.16246,low,0.00004,0,down,-0.00003,1,0,first_break_bar_level,0
