evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-06|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-06|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-06,60,30,down,wick,down,wick,1,2022-01-06T08:30:00Z,1.35268,1.35268,1.35222,1.35247,1.35247,1.35119,1.35222,low,0.00128,0,down,-0.00103,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-06|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-06|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-06,60,30,down,close,down,close,1,2022-01-06T15:00:00Z,1.35395,1.35417,1.35345,1.35346,1.35363,1.35260,1.35346,close,0.00103,0,down,-0.00086,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-07|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-07|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-07,60,30,down,wick,down,wick,1,2022-01-07T08:30:00Z,1.35407,1.35417,1.35377,1.35397,1.35396,1.35377,1.35377,low,0.00019,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-07|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-07,60,30,up,wick,up,wick,1,2022-01-07T15:00:00Z,1.35423,1.35473,1.35411,1.35413,1.35468,1.35474,1.35473,high,0.00006,0,up,-0.00001,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,60,30,up,close,up,close,1,2022-01-10T09:00:00Z,1.35827,1.35892,1.35818,1.35871,1.35863,1.35863,1.35871,close,0.00000,1,up,0.00008,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,60,30,down,close,down,close,1,2022-01-10T15:30:00Z,1.3566,1.35679,1.35559,1.3556,1.35637,1.35637,1.3556,close,0.00000,1,down,0.00077,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-11,60,30,down,close,down,close,1,2022-01-11T08:30:00Z,1.35917,1.35927,1.35828,1.35828,1.35895,1.35789,1.35828,close,0.00106,0,down,-0.00039,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-11,60,30,down,wick,down,wick,1,2022-01-11T15:15:00Z,1.35787,1.35824,1.35722,1.35738,1.35735,1.35722,1.35722,low,0.00013,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-12|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-12|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-12,60,30,down,close,down,close,1,2022-01-12T08:45:00Z,1.36437,1.36437,1.3632,1.36328,1.36402,1.36320,1.36328,close,0.00082,0,down,-0.00008,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-12|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-12|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-12,60,30,up,close,up,close,1,2022-01-12T15:00:00Z,1.36362,1.36441,1.36354,1.36425,1.36413,1.36486,1.36425,close,0.00073,0,up,-0.00061,1,0,first_break_bar_level,0
