outcome_shell_id,outcome_family,outcome_level,outcome_status,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,cross_distance_over_ib,next_required_evidence,failed_breakout_defined,retest_defined,reject_defined,day_type_defined
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-01,up,close,2021-11-01T14:30:00Z,1.36597,0.00018,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-15,down,close,2021-11-15T09:30:00Z,1.34266,0.00017,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-16,up,close,2021-11-16T09:00:00Z,1.34451,0.00202,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-19,up,close,2021-11-19T15:30:00Z,1.34494,0.00015,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-23,down,close,2021-11-23T09:00:00Z,1.3381,0.00005,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-25,up,wick,2021-11-25T17:15:00Z,1.33209,0.00031,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-20,down,close,2021-12-20T09:00:00Z,1.32106,0.00053,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,down,close,2021-12-23T15:30:00Z,1.34161,0.00022,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,down,wick,2021-12-27T09:15:00Z,1.33936,0.00013,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,up,close,2022-01-04T09:30:00Z,1.34731,0.00035,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,up,close,2022-01-10T09:00:00Z,1.35871,0.00008,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,down,close,2022-01-10T15:30:00Z,1.3556,0.00077,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-13,up,close,2022-01-13T15:45:00Z,1.37378,0.00033,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-21,up,wick,2022-01-21T15:30:00Z,1.35746,0.00015,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-24,down,close,2022-01-24T15:30:00Z,1.34738,0.00032,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-02-04,down,close,2022-02-04T09:45:00Z,1.35813,0.00007,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-07,down,wick,2022-02-07T15:30:00Z,1.35053,0.00048,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
