candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-02|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-02,down,wick,2021-09-02T07:30:00Z,1.3771,1.37720,1.37702,0.00018,61,1,2021-09-02T07:45:00Z,1.37699,0.00021,1.38356,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-02|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-02,down,close,2021-09-02T14:00:00Z,1.37868,1.37876,1.37857,0.00019,55,1,2021-09-02T14:15:00Z,1.37812,0.00064,1.38435,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-03|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-03|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-03,down,close,2021-09-03T07:30:00Z,1.38326,1.38332,1.38312,0.00020,61,1,2021-09-03T08:15:00Z,1.38172,0.00160,1.38621,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-03|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-03|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-03,up,close,2021-09-03T14:15:00Z,1.38314,1.38275,1.38347,0.00072,38,1,2021-09-03T15:00:00Z,1.3891,0.00635,1.3858,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-06|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-06|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-06,down,close,2021-09-06T07:30:00Z,1.38444,1.38474,1.38426,0.00048,61,1,2021-09-06T08:30:00Z,1.38179,0.00295,1.38326,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-07|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-07,down,wick,2021-09-07T14:00:00Z,1.37838,1.37859,1.37838,0.00021,55,1,2021-09-07T14:15:00Z,1.3767,0.00189,1.37861,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-08|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-08|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-08,down,wick,2021-09-08T07:45:00Z,1.37783,1.37788,1.37783,0.00005,60,1,2021-09-08T08:00:00Z,1.37257,0.00531,1.37731,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-08|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-08|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-08,up,close,2021-09-08T14:00:00Z,1.37717,1.37675,1.37777,0.00102,55,1,2021-09-08T14:30:00Z,1.3784,0.00165,1.37605,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-09|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-09,down,close,2021-09-09T07:30:00Z,1.37547,1.37587,1.37529,0.00058,61,1,2021-09-09T08:30:00Z,1.37529,0.00058,1.38372,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-09|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-09,down,wick,2021-09-09T14:00:00Z,1.38088,1.38094,1.38088,0.00006,55,1,2021-09-09T14:15:00Z,1.381,-0.00006,1.38412,0,same_local_date_after_or_break_only
