symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-03-13T15:00:00Z,1.08562,1.08758,1.08263,1.08349
EURUSD,H1,2025-03-13T16:00:00Z,1.0835,1.08532,1.08225,1.08474
EURUSD,H1,2025-03-13T17:00:00Z,1.08474,1.08698,1.0846,1.08651
EURUSD,H1,2025-03-13T18:00:00Z,1.08651,1.08719,1.0854300000000001,1.08585
EURUSD,H1,2025-03-13T19:00:00Z,1.08585,1.08782,1.08554,1.0872600000000001
EURUSD,H1,2025-03-13T20:00:00Z,1.0872600000000001,1.08735,1.08544,1.08548
EURUSD,H1,2025-03-13T21:00:00Z,1.08548,1.08581,1.08521,1.08538
EURUSD,H1,2025-03-13T22:00:00Z,1.08538,1.0857,1.08477,1.08484
EURUSD,H1,2025-03-13T23:00:00Z,1.08483,1.08555,1.08465,1.08514
EURUSD,H1,2025-03-14T00:00:00Z,1.08503,1.0855,1.08452,1.08511
EURUSD,H1,2025-03-14T01:00:00Z,1.08511,1.08556,1.08511,1.08525
EURUSD,H1,2025-03-14T02:00:00Z,1.08525,1.0855299999999999,1.08502,1.0855
EURUSD,H1,2025-03-14T03:00:00Z,1.0855,1.08588,1.08483,1.08491
EURUSD,H1,2025-03-14T04:00:00Z,1.08491,1.08493,1.08407,1.08409
EURUSD,H1,2025-03-14T05:00:00Z,1.08409,1.08432,1.08343,1.08402
EURUSD,H1,2025-03-14T06:00:00Z,1.08402,1.0846,1.08379,1.08456
EURUSD,H1,2025-03-14T07:00:00Z,1.08457,1.08463,1.08377,1.08411
EURUSD,H1,2025-03-14T08:00:00Z,1.08411,1.08515,1.08409,1.08508
EURUSD,H1,2025-03-14T09:00:00Z,1.08508,1.08508,1.08351,1.08386
EURUSD,H1,2025-03-14T10:00:00Z,1.08385,1.08473,1.08307,1.08393
EURUSD,H1,2025-03-14T11:00:00Z,1.08393,1.08568,1.08355,1.08539
EURUSD,H1,2025-03-14T12:00:00Z,1.08539,1.08622,1.08469,1.08524
EURUSD,H1,2025-03-14T13:00:00Z,1.08524,1.09128,1.08516,1.08949
